name,page_url,icon,description,unlock,ability,requirement,ball,passive,evolutions,combinations
The Warrior,,https://static.wikia.nocookie.net/ballpit/images/d/dd/The_Warrior.png/revision/latest/scale-to-width-down/100?cb=20251022220910,A wandering warrior,N/A,N/A,,Bleed,,,
The Itchy Finger,,https://static.wikia.nocookie.net/ballpit/images/9/90/The_Itchy_Finger.png/revision/latest/scale-to-width-down/100?cb=20251022220908,A disgraced deputy,"Build the Sheriff's Office Blueprint, which is unlocked by clearing the Bone x Yard biome","Has scattered aim, but shoots twice as fast and constantly launches balls if any are available. Can move at full speed while shooting",,Burn,,,
The Repentant,,https://static.wikia.nocookie.net/ballpit/images/3/31/The_Repentant.png/revision/latest/scale-to-width-down/100?cb=20251022220909,"A sorrowful specimen, filled with regret","Build the Haunted House Blueprint, which is unlocked by clearing the the Snowy x Shores biome","Balls deal 5% more damage each time they bounce. But when they hit the back wall, they return to the player, damaging each enemy they pass through",,Freeze,,,
The Cohabitants,,https://static.wikia.nocookie.net/ballpit/images/a/a2/The_Cohabitants.png/revision/latest/scale-to-width-down/100?cb=20251022220908,A couple with many many children,"Build the Cozy Home Blueprint, which is unlocked by clearing the Bone x Yard biome","For each ball launched, a copy is launched in the mirrored direction. Balls deal half damage",,Brood Mother,,,
The Cogitator,,https://static.wikia.nocookie.net/ballpit/images/e/e1/The_Cogitator.png/revision/latest/scale-to-width-down/100?cb=20251022220907,"A brilliant philosopher, lost in thought","Build the Villa Blueprint, which is unlocked by clearing the Snowy x Shores biome",Automatically chooses upgrades,,Laser (Vertical),,,
The Embedded,,https://static.wikia.nocookie.net/ballpit/images/2/21/The_Embedded.png/revision/latest/scale-to-width-down/100?cb=20251022220908,"Marked by countless battles, he awaits his next assignment","Build the Veteran's Hut Blueprint, which is unlocked by clearing the Snowy x Shores biome",Balls always pierce enemies until they hit a wall,,Poison,,,
The Shade,,https://static.wikia.nocookie.net/ballpit/images/9/97/The_Shade.png/revision/latest/scale-to-width-down/100?cb=20251022220910,A killer for hire,"Build the Mausoleum Blueprint, which is unlocked by clearing the Liminal x Desert biome",Balls shoot from the back and have a base critical hit chance of 10%,,Dark,,,
The Shieldbearer,,https://static.wikia.nocookie.net/ballpit/images/4/44/The_Shieldbearer.png/revision/latest/scale-to-width-down/100?cb=20251022220910,The front line's first defense,"Build the Iron Fortress Blueprint, which is unlocked by clearing the Fungal x Forest biome",Holds a large shield that bounces back balls that hit it.,,Iron,,,
The Spendthrift,,https://static.wikia.nocookie.net/ballpit/images/c/c4/The_Spendthrift.png/revision/latest/scale-to-width-down/100?cb=20251022220910,"A wealthy merchant, living a life of extravagance","Build the Mansion Blueprint, which is unlocked by clearing the Fungal x Forest biome",Shoots all balls at the same time in a wide arc,,Vampire,,,
The Juggler,,https://static.wikia.nocookie.net/ballpit/images/3/34/The_Juggler.png/revision/latest/scale-to-width-down/100?cb=20251022220908,"A street performer, flourishes abound","Build the Theater Blueprint, which you can unlock by clearing the Gory x Grasslands biome",Lobs balls into the air at a target position on the field. Balls don't start bouncing until they reach the ground,,Lightning,,,
The Empty Nester,,https://static.wikia.nocookie.net/ballpit/images/2/24/The_Empty_Nester.png/revision/latest/scale-to-width-down/100?cb=20251022220908,"Finally, some peace and quiet","Build the Single Family Home Blueprint, which is which is unlocked by clearing the the Snowy x Shores biome",No baby balls. Each shot shoots multiple instances of one equipped special ball,,Ghost,,,
The Flagellant,,https://static.wikia.nocookie.net/ballpit/images/c/c5/The_Flagellant.png/revision/latest/scale-to-width-down/100?cb=20251022220908,Just your average flagellant,"Build the Monastery Blueprint, which you can unlock by clearing the Gory x Grasslands biome",Balls bounce normally off the bottom of the screen,,Egg Sac,,,
The Makeshift Sisyphus,,https://static.wikia.nocookie.net/ballpit/images/7/70/The_Makeshift_Sisyphus.png/revision/latest/scale-to-width-down/100?cb=20251022220910,"A former king, tormented by time",Build the Rocky Hill Blueprint,"Balls no longer deal direct hit damage, but AOE and status effects damage is increased by 4x. No baby balls",,Earthquake,,,
The Physicist,,https://static.wikia.nocookie.net/ballpit/images/d/db/The_Physicist.png/revision/latest/scale-to-width-down/100?cb=20251022220910,A pioneer of the field,"Build the Laboratory Blueprint, which is unlocked by clearing the Fungal x Forest biome",Balls are affected by gravity pulling towards the back of the screen,,Light,,,
The Tactician,,https://static.wikia.nocookie.net/ballpit/images/4/4b/The_Tactician.png/revision/latest/scale-to-width-down/100?cb=20251022220910,"A retired general, experienced beyond belief","Build the Captain's Headquarters Blueprint, which is unlocked by clearing the Smoldering x Depths biome",Battler become turn-based,,Iron,,,
The Radical,,https://static.wikia.nocookie.net/ballpit/images/2/24/The_Radical.png/revision/latest/scale-to-width-down/100?cb=20251022220910,Radicalized by years of solitude,"Build the Campground Blueprint, which is unlocked by clearing the Heavenly x Gates biome",Plays the game and chooses upgrades automatically,,Wind,,,
